nct_number,study_title,recruitment_status,brief_summary,eligibility_criteria,phase,conditions,keywords,interventions,min_age,max_age,sex,study_url,disease
NCT06977698,Intra-operative Detection of Positive Margins in Breast Surgery,RECRUITING,"In this project, we will develop a unique OCT-Raman system based on a selective sampling approach optimised for high-resolution analysis of whole lumpectomy specimens. The aim of using OCT is not to detect the cancer but to identify the adipose tissue, such that the large adipose tissue regions are excluded from any further measurements by Raman spectroscopy.

While OCT has a limited ability to distinguish between tumour and surrounding normal stroma, adipose tissue has a distinctive appearance in the OCT images due to low backscattering within adipose cells (filled with lipids and small/flattened nuclei) compared to the highly scattering benign dense tissue (stroma, ducts and lobules) and malignant tissue. Such specific patterns allow identification of normal adipose tissue from breast tissue (classification models based on reflectivity profiles) with 94% sensitivity and 93% specificity. This will reduce the task of Raman measurements, which can be focused on the smaller remaining regions to discriminate between the benign and malignant tissue. This flexible and adaptable scanning strategy will achieve a much-improved diagnosis accuracy and speed to cover all surgical margins within practical timescales.","Inclusion criteria

* Patients undergoing breast surgery (wide local excision).
* Able to give informed consent.
* Any age.

Exclusion criteria

• Patients where there is any doubt regarding the diagnosis from pathologist as ascertained by previous diagnostic biopsy.",N/A,Breast Cancer Invasive,"Breast cancer, Margins",OCT-Raman,,,FEMALE,https://clinicaltrials.gov/study/NCT06977698,breast cancer
NCT07313514,The Value of the O-RADS Radiological Classification in Predicting the Malignancy of Ovarian Masses in Children,RECRUITING,"When faced with an ovarian mass in a girl, conservative surgery (resection of the mass while preserving healthy ovarian tissue) via laparoscopy remains the most appropriate treatment option. However, this option is no longer indicated for malignant tumors, as this presents a risk of tumor dissemination that can significantly alter the child's subsequent prognosis. Therefore, for any malignant or suspected malignant tumor, radical treatment consisting of oophorectomy or salpingo-oophorectomy, often via laparotomy, is the standard. While keeping this therapeutic principle in mind, differentiating between benign and malignant entities remains the major challenge for clinicians. Furthermore, the diagnostic accuracy of the O-RADS classification based on MRI is not sufficiently established in the literature for children. Our project aims to conduct a multicenter study in the pediatric population to investigate the usefulness of this radiological classification in the preoperative diagnosis of ovarian masses.","Inclusion Criteria:

* Girls under 16 years of age.
* Girls who underwent surgery for ovarian masses at the Pediatric Surgery Department of Mohammed VI University Hospital in Oujda during the study period.
* Girls who underwent surgery for ovarian masses at the Pediatric Surgery Department of Strasbourg University Hospital during the study period.
* Girls who underwent preoperative MRI.

Exclusion Criteria:

* Girls who underwent preoperative MRI.
* Patients who did not undergo surgery.
* Patients without histopathological examination of the surgical specimen.
* Patients without MRI as a preoperative diagnostic evaluation modality.",N/A,Ovarian; Mastopathy,"Malignancy in Ovarian Masses, Ovarian; Mastopathy",,1 Year,16 Years,ALL,https://clinicaltrials.gov/study/NCT07313514,breast cancer
NCT05804916,Optical Surface Monitoring Technology-Guided Large-Segment Radiotherapy for Breast Cancer,RECRUITING,"This study is a single-center,blinded, efficacious, phase III randomized clinical trial initiated by investigators. The primary objective is to investigate the use of Surface Guided Radiation Therapy (SGRT) in combination with Deep Inspiration Breath Hold (DIBH) technique for left breast cancer treatment, compared to traditional laser alignment with free breathing treatment. This approach offers superior positioning accuracy and improved heart protection without any increase in radiation or adverse reactions.","Inclusion Criteria:

1. Patients who have undergone breast-conserving surgery or modified radical mastectomy for left breast cancer;
2. Planned whole-breast ± supraclavicular region, chest wall ± supraclavicular region radiotherapy;
3. Able to perform deep inspiration breath-hold technique with breath-holding time \>35s and can repeat it continuously for more than 6 times;
4. Patients who have not received neoadjuvant chemotherapy or breast reconstruction surgery;
5. No active heart disease, myocardial infarction, congestive heart failure or other cardiac diseases at baseline;
6. Patients are fully voluntary and able to sign the informed consent form 30 days before enrollment.

Exclusion Criteria:

1. Bilateral breast cancer;
2. No pathological diagnosis;
3. Remote metastasis;
4. Receiving neoadjuvant chemotherapy or breast reconstruction;
5. Have received mediastinal radiotherapy in the past;
6. Previous history of abdominal or pelvic radiotherapy;
7. Previous or secondary primary malignant tumor;
8. Serious cardiac insufficiency; Myocardial infarction or uncorrected unstable arrhythmia or uncorrected unstable angina pectoris occurred in the last 3 months; Pericardial disease.","PHASE2, PHASE3","Breast Cancer, Optical Surface Monitoring Technology, Large-segment Radiotherapy","breast cancer, optical surface monitoring technology, large-segment radiotherapy",Surface Guided Radiation Therapy (SGRT),18 Years,70 Years,FEMALE,https://clinicaltrials.gov/study/NCT05804916,breast cancer
NCT06832904,Neoadjuvant Chemotherapy Plus Pyrotinib and Trastuzumab for HER2-positive Breast Cancer (NEOTORCH-BREAST05),RECRUITING,"This study is a prospective, single arm, multi-center clinical trial. The primary study objective is to evaluate the pathologic complete response (pCR）and clinical complete response（cCR) of neodjuvant treatment of HER2-positive breast cancer with pyrotinib and trastumab combined with neoadjuvant chemotherapy. The secondary study objective is to observe and evaluate the disease-free survival (DFS), Progression-Free-Survival (PFS ),and Objective Response Rate(ORR). The study also observes the incidence and types of adverse events.","Inclusion Criteria:

1\. Female patients aged 18-75 years old; 2. ECOG score is 0-1 points; 3. Histologically confirmed invasive cancer meets the following standards:

* T1N1-3M0 or T2-4N0M0
* All patients were pathohistologically confirmed as HER2+ breast cancer. HER2 positivity was determined locally and defned as 3+ staining intensity by immunohistochemistry or HER2 gene amplifcation by fuorescence in situ hybridization according to the 2013 American Society of Clinical Oncology/College of American Pathologists guidelines.

  4\. The functional level of major organs must meet the following requirements (no blood transfusion, no use of leukocyte and platelet boosting drugs within 2 weeks before screening):
  1. Blood routine: Absolute neutrophil count (ANC) greater than 1.5 × 109/L; platelet count (PLT) greater than 75 × 109/L; Hemoglobin (Hb) is greater than 90g/L; Lymphocyte count ≥ 1.5 × 109/L
  2. Blood biochemistry: Total bilirubin (TBIL) is less than 1.5 × ULN; Alanine aminotransferase (ALT) and aspartate (AST) levels are less than 1.5 × ULN; Alkaline phosphatase is less than 2.5 × ULN; Urea nitrogen/Urea (BUN/UREA) and creatinine (Cr) are less than 1.5 × ULN.
  3. Cardiac ultrasound: Left ventricular ejection fraction (LVEF) greater than 55%.
  4. 12 lead electrocardiogram: The Fridericia corrected QT interval (QTcF) is less than 470 milliseconds 5. For female patients who have not yet reached menopause or undergone surgical sterilization: during the treatment period and in the study treatment, the final use effective contraceptive methods for at least 6 months after a single administration.

  6\. Voluntarily join this study, sign an informed consent form, have good compliance, and are willing to cooperate with follow-up.

Exclusion Criteria:

1. Stage IV breast cancer.
2. Inflammatory breast cancer.
3. Previously received anti-tumor treatment or radiation therapy for any malignant tumor, excluding those that have been cured malignant tumors such as cervical carcinoma in situ, basal cell carcinoma, or squamous cell carcinoma.
4. Simultaneously undergoing anti-tumor treatment in other clinical trials, including but not limited to chemotherapy, endocrine therapy, biological therapy, bone improvement drug therapy, or immune checkpoint inhibitor therapy, etc.
5. The patient had undergone major surgical procedures unrelated to breast cancer within 4 weeks before the first administration of the study drug, or the patient has not fully recovered from such surgical procedures.
6. Serious heart disease or discomfort, including but not limited to the following diseases:

1\) Diagnosed history of heart failure or systolic dysfunction (LVEF less than 50%).

2\) High risk uncontrolled arrhythmias, such as atrial tachycardia, resting heart rate greater than 100bpm, significant ventricular arrhythmias (such as ventricular tachycardia), or higher-level atrioventricular block (i.e. Mobitz II second or third degree atrioventricular block).

3\) Angina requiring medication for treatment. 4) Heart valve disease with clinical significance. 5) ECG shows transmural myocardial infarction. 6) Poor control of hypertension (systolic blood pressure greater than 180mmHg and/or diastolic blood pressure greater than 100mmHg after drug treatment).

7\. Uncontrolled active infections that require treatment; History of immunodeficiency, including HIV testing positive Sexual, or suffering from other acquired or congenital immunodeficiency diseases, or having a history of organ transplantation.

8\. Patients with chronic active hepatitis B or active hepatitis C (excluding hepatitis B virus carriers, stable hepatitis B after drug treatment \[HBV-DNA test negative or\&lt;50IU/ml\] and cured hepatitis C patients \[HCV RNA test negative\]).

9\. Individuals with a known history of allergies to the components of this medication regimen.

10\. Pregnant and lactating female patients, female patients with fertility and positive baseline pregnancy test results, or reproductive age patients who are unwilling to take effective contraceptive measures during the entire trial period and within 6 months after the last study medication.

11\. Suffering from serious accompanying diseases or other comorbidities that may interfere with the planned treatment, or any other circumstances that the researcher deems unsuitable for the patient to participate in this study.",PHASE2,"HER2-positive Breast Cancer, Neoadjuvant Therapy, Pyrotinib",,pyrotinib and trastuzumab in combinition with neoadjuvant chemotherapy,18 Years,75 Years,FEMALE,https://clinicaltrials.gov/study/NCT06832904,breast cancer
NCT06877949,FDG-PET/CT vs. CT for Monitoring Metastatic Breast Cancer,RECRUITING,"Several studies have shown improved sensitivity of FDG-PET/CT compared with conventional imaging for diagnosing metastatic breast cancer in retrospective and smaller prospective studies. For response monitoring, we expect FDG-PET/CT to detect disease progression earlier than CT in patients treated for metastatic breast cancer, enabling earlier start of second-line therapies.

Current knowledge about the potential benefit of FDG-PET/CT for response monitoring of patients with metastatic breast cancer comes from observational studies. Consequently, current evidence is only hypothesis-generating and prospective, randomized trials such as the MONITOR-RCT are needed to corroborate these findings.

The MONITOR-RCT clinical trial aims to investigate whether monitoring with FDG-PET/CT can improve survival in patients diagnosed with metastatic breast cancer. It is a parallel group comparative randomized trial comparing an experimental monitoring strategy based on FDG-PET/CT with a standard monitoring strategy based on CT.

Participating patients should have newly diagnosed metastatic breast cancer and be considered eligible for initiating first-line medical treatment and subsequent regular response monitoring. A total of 420 patients will be included in the study, with recruitment taking place across 11 participating hospital sites in Denmark, Germany, and Italy.

The main questions it aims to answer are:

* Can monitoring with FDG-PET/CT compared to conventional CT prolong the overall survival of MBC patients?
* Is this-as expected-due to earlier detection of disease progression and earlier initiation of second-line therapies?
* Is this accompanied by less need for additional diagnostics, less need for hospitalization, and improved quality of life?

Participants will:

* Undergo FDG-PET/CT scans at scheduled intervals to monitor disease progression.
* Be given standard treatments as part of oncological care, which is informed by the FDG-PET/CT scans
* Fill out questionnaires about their quality of life at various time points throughout the study.

Objectives are:

Primary: To demonstrate superiority in overall survival of response monitoring with FDG-PET/CT in patients with metastatic breast cancer over response monitoring based on CT. Appropriately adapted PERCIST criteria for FDG-PET/CT and the RECIST1.1 criteria for CT will be used.

Secondary: To demonstrate superiority in quality of life and exposure to oncologic treatment with FDG-PET/CT and to investigate the cost-effectiveness.","Inclusion Criteria:

1. Women and men aged ≥18 years
2. Diagnosis of distant relapsed MBC (biopsy-verified) or de novo breast cancer. In patients with distant relapsed MBC, biopsy verification from a distant metastasis is required. In patients with de novo MBC, biopsy verification of primary tumor and diagnostic imaging with distant metastasis with a typical pattern of MBC is required.
3. Considered eligible for first-line systemic treatment
4. Considered eligible for continuous treatment monitoring by scans.
5. Signed informed consent
6. Participants must have the ability to read and understand the following languages based on their country of participation: in Denmark, patients must be able to read and understand Danish; in Italy, they must be able to read and understand Italian or English; and in Germany, they must be able to read and understand German or English.

In case of patients for whom it is necessary to start first-line systemic treatment while still waiting for the evaluation of the biopsy, it is allowed to include the patients, as long as the other criteria are fulfilled and the biopsy is made or planned. In case verification by biopsy fails, the patients will leave the trial (cf. 4c). We expect that up to 3% of the patients included will start first-line systemic treatment prior to evaluation of the biopsy

Exclusion Criteria:

1. Pregnant or lactating women
2. Ongoing oncological treatment for another cancer
3. Exclusively brain metastasis
4. Allergy to FDG",NA,"Metastatic Breast Cancer, Response Monitoring","Metastatic Breast Cancer, Response Monitoring, FDG-PET/CT, Survival, Progression","FDG-PET/CT, CE-CT",18 Years,,ALL,https://clinicaltrials.gov/study/NCT06877949,breast cancer
NCT06961955,5 vs. 9-day Course of Whole Breast Radiotherapy With Boost for Early-stage Breast Cancer,RECRUITING,The goal of this study is to evaluate 5 days vs. 9 days of whole breast radiation.,"Inclusion Criteria:

* Female participant aged ≥ 18 years.

  --Participants must have at least one of the following risk factors:
  * Grade 3 invasive histology
  * Estrogen receptor positivity less than 5%
  * Lymphovascular invasion
  * Invasive margins \<2mm on surgical pathology
  * DCIS final positive margin
  * Extensive intraductal component
  * Age ≤ 50 years
  * Tumor size \> 2 cm
* Histologically confirmed invasive carcinoma or Ductal Carcinoma In Situ (DCIS) of the breast.
* Breast cancer stage (AJCC v8) T0-3, N0, M0. T0 N0 is allowed if whole breast radiation is recommended by the treating physician.
* Lumpectomy within 84 days of the start of radiation.
* ECOG Performance Status ≤ 2, or KPS ≥ 50
* Negative inked histologic margins from lumpectomy, with the exception of a focus of positive margin at the pectoralis fascia.
* Negative pregnancy test for participants of childbearing potential, evidence of permanent surgical sterilization, or post-menopausal status. The post-menopausal status will be defined as having been amenorrheic for 12 months without an alternative medical cause. The following age-specific requirements apply:

  * \< 50 years of age:

    * Amenorrheic for ≥ 12 months following cessation of exogenous hormonal treatments; and
    * Luteinizing hormone and follicle-stimulating hormone levels in the post-menopausal range for the institution
  * ≥ 50 years of age:

    * Amenorrheic for 12 months or more following cessation of all exogenous hormonal treatments; or
    * Had radiation-induced menopause with last menses \>1 year ago; or
    * Had chemotherapy-induced menopause with last menses \>1 year ago
* Sexually active participants of childbearing potential must agree to use highly effective method of contraception (defined in Section 5.4.1) during the course of radiation and for 30 days after radiation.
* Able to provide informed consent and willing to sign an approved consent form that conforms to federal and institutional guidelines.

Exclusion Criteria:

* Bilateral breast cancer.
* Prior radiation therapy to the chest.
* Prior chemotherapy.
* Recurrent disease.
* Known metastases or node positive.
* Major chest surgery which is expected to impact study participation 8 weeks prior to starting study drug.
* Prior breast malignancy in either breast.
* The diagnosis of any other malignancy which, in the opinion of the Investigator, is likely to negatively impact the subject's safety or ability to participate in the study.
* Current evidence of uncontrolled, significant intercurrent illness including, but not limited to, the following conditions:

  * Cardiovascular disorders:

    * Congestive heart failure New York Heart Association Class III or IV, unstable angina pectoris, serious cardiac arrhythmias.
    * Stroke (including transient ischemic attack \[TIA\]), myocardial infarction (MI), or other ischemic events, or thromboembolic event (e.g., deep venous thrombosis, pulmonary embolism) within 3 months before the first dose.
  * Any other condition that would, in the Investigator's judgment, contraindicate the participant's participation in the clinical study due to safety concerns or compliance with clinical study procedures (e.g., infection/inflammation, intestinal obstruction, unable to swallow, social/ psychological issues, etc.)
* Significant post lumpectomy complications requiring an unplanned re-operation for surgical complications or admission for IV antibiotics. Re-operation for margins evaluation or nodal evaluation is acceptable. Draining of a seroma is not considered a complication unless it has become infected.
* Breast neuroendocrine carcinoma or sarcoma histology.
* Radiation sensitizing disease or condition (e.g. connective tissue disease, li fremani, etc.).
* Medical, psychiatric, cognitive, or other conditions that may compromise the participant's ability to understand the participant information, give informed consent, comply with the study protocol or complete the study.
* Participants receiving concurrent radiation sensitizing medications or therapies.",PHASE2,"Breast Cancer, Invasive Carcinoma of Breast, Ductal Breast Carcinoma in Situ",,Radiation Therapy,18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT06961955,breast cancer
NCT06321640,Study for the Multidimensional Analyses of Resistance and Toxicity to Immune- and Targeted-therapies.,RECRUITING,"Novel treatment modalities like targeted therapies and Immune checkpoint inhibitors have revolutionised the therapeutic landscape in oncology and hematology, significantly improving outcomes even in clinical contexts in which little improvement had been observed for decades such as metastatic melanoma, lung cancer, and lymphoproliferative neoplasms such as chronic lymphoid leukemia or Hodgkin lymphoma. However, major issues remain unsolved, given the frequent occurrence of primary or secondary resistance and the still incomplete understanding of the physiopathology of adverse events, which represent a major cause of morbidity and treatment interruption and often remain difficult to treat and diagnose. In this complex landscape, identifying the best treatment option for each patient remains challenging. For both targeted therapies and Immune checkpoint inhibitors, several biomarkers have been reported, but their implementation in clinical practice is still uncommon, and most of the decision-making process remains based on purely clinical considerations or constraints dictated by the regulatory bodies. Obstacles to biomarker-driven decision making are manifold and include insufficient understanding of the underlying biology, lack of strong evidence on their predictive power and limited tumor sampling, which may be circumvented by non-invasive techniques such as liquid biopsies.","Inclusion Criteria:

* age\>18 yrs old
* histological diagnosis of any cancer
* signed informed consent
* fulfills criteria described in cohort definition
* Clinical indication for a diagnostic biopsy

Exclusion Criteria:

Performance Status (ECOG) \>2

* life expectancy \< 3 months
* unwilling to receive treatment at IEO for at least 6 months after enrolment
* active pregnancy at the moment of enrolment
* for cohort F: use of steroids (higher than 10 mg prednisone-equivalent) or other major immunosuppressive drug (e.g. tocilizumab) in the 14 days prior to the baseline sample collection.",N/A,"Breast Cancer, Lung Cancer, Melanoma, Head and Neck Cancer, Urothelial Carcinoma, Colorectal Cancer, Liver Metastases, Lung Metastases",,"Cohort A: primarily operable disease, candidate to adjuvant, Cohort B: locally advanced disease, Cohort C: metastatic disease, Cohort D: Progressive disease, Cohort E: Hematological neoplasms, Cohort F: Toxicity",18 Years,,ALL,https://clinicaltrials.gov/study/NCT06321640,breast cancer
NCT06915168,CIPN Decision Aid for the Improvement of Chemotherapy Decision Making in Patients With Breast Cancer,RECRUITING,"This clinical trial studies how well a chemotherapy-induced peripheral neuropathy (CIPN) decision aid works in improving chemotherapy decision making among patients with breast cancer. CIPN involves numbness or tingling in the hands or feet and is a debilitating side effect of several commonly used classes of cancer drugs. CIPN symptoms are typically minor at first but can progress with continued treatment to severe symptoms that can affect long-term function, falls risk, and quality of life. Symptoms sometimes resolve after treatment but in patients who experienced CIPN, symptoms are still present 1 year post-treatment in about two-thirds of patients and 3 years post-treatment in approximately half of the patients. Previous studies indicate patients lack awareness of long-term CIPN symptoms. A decision aid that provides information about permanent CIPN, that helps patients understand their treatment priorities, and prepares them for a discussion with their medical oncologist may lead to improvements in treatment decision making, satisfaction with decision making, and ultimately increase patient's achievement of their treatment goals.","Inclusion Criteria:

* Patients with breast cancer
* Currently receiving cycle three of taxane treatment
* Approval of medical oncologist to enroll patient
* Experiencing any CIPN based on enrollment screening question, ""In the last 7 days, what was the severity of your numbness or tingling in your hands or feet at its worst? None, Mild, Moderate, Severe, Very Severe. Patient is eligible if their answer is anything except ""None""
* Access to a smartphone or similar device that can complete CIPN DecisionAid via Qualtrics while in the waiting room

Exclusion Criteria:

* Inability to read or speak English",NA,Breast Carcinoma,,"Informational Intervention, Survey Administration",,,ALL,https://clinicaltrials.gov/study/NCT06915168,breast cancer
NCT06757634,"Phase 3 Study of Gedatolisib as First-Line Treatment for Patients With HR-Positive, HER2-Negative Advanced Breast Cancer (VIKTORIA-2)",RECRUITING,"This is a Phase 3, open-label, randomized, clinical trial evaluating the efficacy and safety of gedatolisib plus fulvestrant and CDK4/6 Inhibitors for the treatment of patients with locally advanced or metastatic HR+/HER2- advanced breast cancer.","Inclusion Criteria:

1. Histologically or cytologically confirmed diagnosis of metastatic or locally advanced HR+/HER2- breast cancer
2. Adult females, pre- and/or post-menopausal, and adult males. Pre-menopausal (and peri-menopausal) women can be enrolled if amenable to treatment with an LHRH agonist. Patients are to have commenced concomitant treatment with LHRH agonist prior to or on Cycle 1, Day 1 and must be willing to continue for the duration of the study.
3. Negative pregnancy test for females of childbearing potential. Female subjects who are not surgically sterile must use a medically effective contraceptive method from screening until 2 years after the last dose of study treatment.
4. Progression of disease during or within 12 months of completing (neo)adjuvant ET.
5. Adequate archival, fresh tumor tissue, or liquid biopsy for the analysis of PIK3CA mutational status.
6. Permitted prior therapies:

   1. (neo)adjuvant fulvestrant or any selective ER degrader only if the treatment duration \< 6 months
   2. (neo)adjuvant chemotherapy
   3. (neo)adjuvant CDK4/6 inhibitor, unless PD was on or within 6 months of discontinuation of CDK4/6i
7. Subject has radiologically measurable disease according to RECIST v1.1, per local assessment. Patients with evaluable bone-only disease are not eligible. Patients with bone-only disease that has lytic or mixed lytic/blastic lesions and at least one measurable soft tissue component per RECIST v1.1 may be eligible.
8. Eastern Cooperative Oncology Group (ECOG) performance status of 0-2.
9. Life expectancy of at least \>6 months.
10. Adequate bone marrow, hepatic, renal and coagulation function.

Exclusion Criteria:

1. Concurrent malignancies other than adequately treated non-melanoma skin cancer. Previous malignancies in remission but curatively treated with no evidence of disease progression and judged by local Investigator to be at low risk of impacting health or survival while on study.
2. Prior treatment with a phosphoinositide 3-kinase (PI3K) inhibitor, a protein kinase B (Akt) inhibitor, or a mechanistic target of rapamycin (mTOR) inhibitor
3. Prior treatment with systemic anticancer therapy for ABC
4. Subjects with type 1 diabetes
5. Known and untreated, or active, brain or leptomeningeal metastases
6. History of clinically significant cardiovascular abnormalities
7. History of drug-induced symptomatic interstitial lung disease (pneumonitis) or hepatitis",PHASE3,Breast Cancer,"Breast Cancer, Advanced or Metastatic, Gedatolisib, HR Positive, ER Positive, HER2 Negative, PIK3CA MT, PI3K","Arm A: Gedatolisib + Palbociclib or Ribociclib + Fulvestrant, Arm B: Palbociclib or Ribociclib + Fulvestrant",18 Years,,ALL,https://clinicaltrials.gov/study/NCT06757634,breast cancer
NCT07397585,stereOtactic Body RadIothErapy for exTracranial oligomeTastAtic Breast Cancer: Multi Institutional Retrospective Database,RECRUITING,"Oligometastatic breast cancer is a condition in which breast cancer has spread to a small number of other parts of the body. Patients with this type of disease may live longer than those with more widespread metastases. In addition to standard treatments that act on the whole body, such as chemotherapy or hormonal therapy, these patients might also benefit from local treatments that directly target the cancer spots. One of these local treatments is stereotactic body radiotherapy (SBRT), a non-invasive radiation treatment that delivers high doses of radiation in a few sessions. In the past, most of the evidence about the benefit of local treatments came from surgery. More recently, there has been growing interest in SBRT because it does not require surgery. However, the results of studies so far have not been consistent.The goal of this multicenter retrospective study is to better understand whether SBRT can improve disease control and survival in patients with breast cancer that has spread to a limited number of sites outside the brain.","Inclusion Criteria:

* Patients ≥18 years
* Histological diagnosis of breast cancer
* Oligometastatic or oligoprogressive metastatic breast cancer
* SBRT delivered to a minimum dose of 50Gy EQD2 (αβ 10 Gy),in a maximum of 12 fractions as per Oligocare definition
* Ability to provide written informed consent",N/A,"Breast Cancer, Oligometastasis","breast cancer, oligometastasis, radiotherapy, SBRT",,18 Years,,ALL,https://clinicaltrials.gov/study/NCT07397585,breast cancer
NCT06305117,Virtual RealiTy and mUsic in the Oncology SEtting - Phase 1,RECRUITING,"The VRtuose (Virtual RealiTy and mUsic in the Oncology Setting) project aims to evaluate the feasibility of implementing in day patient chemotherapy units a distraction strategy combining virtual reality (VR) and music which fits the needs of both breast cancer patients and healthcare providers (i.e., strategy administrators), and to evaluate its impact on patients' (i) perceived anxiety and pain during chemotherapy sessions, (ii) nausea/vomiting and mood disturbances in between chemotherapy sessions, and (iii) quality of life.

The present project is a non-randomized non-controlled prospective monocentric feasibility study which will focus on evaluating the feasibility of implementing the strategy in the target population and setting.

In the case that implementation of a distraction strategy combining virtual reality and music to improve quality of life of breast cancer patients during chemotherapy is deemed feasible, the efficacy of using this strategy to improve patients' experience of chemotherapy and long-term quality of life will be evaluated in a future randomized controlled trial informed and optimized by the results of the present work.","Inclusion Criteria:

* Histologically confirmed diagnosis of breast cancer;
* Any disease stage;
* Patient must be receiving (i.e., with at least 4 remaining cures) or about to start palliative or curative neoadjuvant or adjuvant chemotherapy for their breast cancer at Centre Léon Bérard;
* Willingness and ability to comply with the study requirements;
* Patient must be covered by a medical insurance;
* Patient must understand, speak, read and write French.

Exclusion Criteria:

* History of condition contraindicating the use of virtual reality (e.g., epilepsy, severe motion sickness);
* Brain metastases;
* Any medical or psychosocial condition that would compromise the patient's compliance to the study procedures or would likely interfere with the completion of Patient-Reported Outcomes;
* Patients under tutorship or curatorship;
* Patients already included in another clinical trial ongoing at Centre Léon Bérard.",NA,Breast Cancer,"quality of life, virtual reality, music, feasibility study",Distraction strategy,18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT06305117,breast cancer
